gene,gene_name,time,mean_expr,var_expr
YBL007C,SLA1,2.0,40.897516617061896,4417.478896540571
YBL007C,SLA1,16.0,63.73304254478604,5205.070923341061
YBL007C,SLA1,36.0,103.96357160278488,17203.47074281702
YCR088W,ABP1,2.0,24.51579173118165,1845.7531645859635
YCR088W,ABP1,16.0,42.90941373456933,2511.6543272348295
YCR088W,ABP1,36.0,68.02486155299107,5493.070766745095
YHR023W,MYO1,2.0,70.97192825535645,10595.707075687973
YHR023W,MYO1,16.0,70.62283743896765,8166.028369935491
YHR023W,MYO1,36.0,88.7937473851178,16521.31268737878
YIL118W,RHO3,2.0,18.40627650764926,1171.7883983232775
YIL118W,RHO3,16.0,19.093627780314314,1452.0852592362085
YIL118W,RHO3,36.0,22.00618555639384,1823.3421708550638
YIL138C,TPM2,2.0,16.494195240562718,770.2172148732175
YIL138C,TPM2,16.0,23.183476330596065,1134.1400276037152
YIL138C,TPM2,36.0,13.994207320393595,678.2401974207279
YIL159W,BNR1,2.0,6.320803622620483,460.4097904222855
YIL159W,BNR1,16.0,5.410444093245975,455.47250048987866
YIL159W,BNR1,36.0,2.900255473395006,111.5825441940657
YFL039C,ACT1,2.0,377.1556791394954,65894.13816324566
YFL039C,ACT1,16.0,329.4150205845317,38140.428869201336
YFL039C,ACT1,36.0,475.9129095977932,121208.37283198214
YDL029W,ARP2,2.0,34.70287261512588,2566.1154578591468
YDL029W,ARP2,16.0,64.58400592665234,4189.315125578125
YDL029W,ARP2,36.0,98.73638506582752,10737.424588881333
YDR129C,SAC6,2.0,69.21934650524867,8331.314293760372
YDR129C,SAC6,16.0,72.96499756998399,8424.027339351709
YDR129C,SAC6,36.0,170.12610435031377,45692.62940525525
YJR065C,ARP3,2.0,35.51895978859422,3727.4106842297947
YJR065C,ARP3,16.0,65.63637981242546,8412.550075666422
YJR065C,ARP3,36.0,169.26338555904042,41905.26141562715
YLL050C,COF1,2.0,140.99228708019362,10017.907552094017
YLL050C,COF1,16.0,172.3089543538367,5251.180761155992
YLL050C,COF1,36.0,227.82812101445347,16352.555347536667
YLR229C,CDC42,2.0,46.95865272927814,1623.0358068210653
YLR229C,CDC42,16.0,32.259928026905186,2464.7407227784524
YLR229C,CDC42,36.0,33.89716585639134,2219.009597254204
YNL079C,TPM1,2.0,32.1244894602237,807.8253270066912
YNL079C,TPM1,16.0,41.00055388347118,1483.8650401312052
YNL079C,TPM1,36.0,59.55122957700195,2518.509809351111
YNL243W,SLA2,2.0,20.684638126163687,2644.4171086075044
YNL243W,SLA2,16.0,25.972435496355047,1842.2009797603869
YNL243W,SLA2,36.0,49.230918546870335,7061.029386020376
YNL271C,BNI1,2.0,88.40263838330334,14508.161236522341
YNL271C,BNI1,16.0,82.8091190319546,12838.783515805606
YNL271C,BNI1,36.0,154.3280917482691,42631.24721614315
YOR181W,LAS17,2.0,7.216118835334774,498.8855446381454
YOR181W,LAS17,16.0,7.1687985095459394,134.27021870833428
YOR181W,LAS17,36.0,28.93740067978273,3318.6563168370417
YOR326W,MYO2,2.0,76.13546345477593,16329.505419261848
YOR326W,MYO2,16.0,65.9369008085807,5855.636682596293
YOR326W,MYO2,36.0,94.50672131539551,21365.02788299703
YPR165W,RHO1,2.0,69.9439072497988,4545.797420169674
YPR165W,RHO1,16.0,87.71481014172515,12158.772159333428
YPR165W,RHO1,36.0,68.66835804205266,6008.884014985516
