gene,log2FC,pval,-log10p,gene_name
YBL072C,1.5529378204850923,1.6830460429448694e-06,5.773904002905122,RPS8A
YLR127C,-1.7457723859229635,6.861145395379263e-05,4.163603377388084,APC2
YLR167W,1.2612965351357803,0.00020439611826103966,3.689527356256593,RPS31
YPL079W,2.2378227472665118,0.00028863483798688845,3.539651251093032,RPL21B
YPR132W,1.3834125798458345,0.0003702466048053446,3.431508915307941,RPS23B
YER102W,2.4545521203991045,0.0007408381388108779,3.13027666799897,RPS8B
YJL190C,1.8583565099528376,0.0008774425998141483,3.056781284434038,RPS22A
YJR123W,1.8079975869741405,0.0009018512185521197,3.04486510357935,RPS5
YHL001W,1.692047418927242,0.0009976771725572408,3.0010099645821633,RPL14B
YFR032C-A,1.3620021669884292,0.0012600237911195764,2.8996212546805284,RPL29
YIL078W,3.8036455180837727,0.0013608813076653097,2.8661797511183753,THS1
YML125C,6.61702435154189,0.0013892766374958366,2.857211267454912,PGA3
YIL088C,2.304000317680616,0.0015684372114184617,2.8045328625450057,AVT7
YOR312C,1.415350891843212,0.0015735102422488685,2.803130425844063,RPL20B
YDL192W,1.7434407344078409,0.0016500688856193877,2.7824979248649377,ARF1
YBR052C,5.277717027673849,0.0016942204354830305,2.7710300841554636,RFS1
YIL069C,1.7070883859984443,0.001965049332345125,2.7066265422369864,RPS24B
YML063W,1.3745833044472446,0.0021183216780646373,2.6740080893651847,RPS1B
YGL123W,1.0638692369137361,0.003072827429835823,2.512461829061714,RPS2
YNL096C,2.417149688837227,0.003087309863385267,2.5104197795866248,RPS7B
YER147C-A,2.5160381528323517,0.0033855426147898176,2.4703717152437283,YER147C-A
YLR216C,3.976190349176101,0.003503545894642148,2.455492189099681,CPR6
YER009W,1.689904924674281,0.003853837516698576,2.4141065997710593,NTF2
YMR167W,4.96541966977789,0.0040335116631164385,2.3943166829332925,MLH1
YPL234C,2.398505119804962,0.004220722105204309,2.374613241105322,VMA11
YGL135W,1.4697773425204097,0.004512683845680149,2.345565091670664,RPL1B
YGL068W,3.093160231137182,0.004586602973382946,2.338508851743219,MNP1
YBR077C,2.404950567833348,0.00513699531718485,2.2892908301724324,SLM4
YML106W,3.7005321975813183,0.005150026446274745,2.288190540775955,URA5
YPL198W,4.024779480266302,0.005337647552961233,2.272650106243057,RPL7B
YLR351C,4.569275195879415,0.005715514849009856,2.242944642606755,NIT3
YJR145C,1.4258324306375945,0.005949402942430402,2.225526616089686,RPS4A
YHL033C,2.193011063911968,0.006231572883219301,2.205402321192008,RPL8A
YER004W,5.46438229728858,0.00624455565844897,2.2044984591231938,FMP52
YHR141C,1.2565299996467736,0.006280779979260463,2.2019864200120596,RPL42B
YPR102C,1.3285485485461535,0.006516996673014812,2.185952500715568,RPL11A
YGL225W,3.0460050367158975,0.006686163509395761,2.1748230069896324,VRG4
YIL148W,0.646380766325642,0.006761184620440483,2.16997720508683,RPL40A
YIL027C,2.8369059648472352,0.006869387188772342,2.1630820041930456,YIL027C
YEL026W,2.6775398209235313,0.007784003286864242,2.108796989354979,SNU13
YPL197C,1.7084417798842946,0.007799535431103549,2.1079312647091153,YPL197C
YJR007W,3.3168606671380574,0.007913164354262531,2.101649814001034,SUI2
YPR044C,0.6149491678069248,0.007966401599952768,2.0987378038459568,OPI11
YKL085W,3.356154597457401,0.007982822352611892,2.0978435352834803,MDH1
YLR447C,3.5799617439676594,0.008526143483608896,2.0692473630312214,VMA6
YFL039C,1.6319623791897935,0.008611162515006715,2.064938214426509,ACT1
YNL303W,1.696453369414326,0.009763908274410552,2.010376309150841,YNL303W
YHR203C,1.765747017515438,0.009936216619581495,2.002778949004912,RPS4B
YDL229W,1.7813830009672564,0.009948181467677102,2.002256301237646,SSB1
YML026C,1.3084829050958406,0.010169404981635282,1.9927044571807206,RPS18B
YKR084C,3.684524847516961,0.01036606710945058,1.984385983884513,HBS1
YNL069C,1.4465365641494092,0.010439366725834634,1.981325845760697,RPL16B
YLR378C,1.9555540825669493,0.0104803739476996,1.9796232211189826,SEC61
YBR084C-A,1.1477874995634494,0.01060175268851787,1.9746223309589361,RPL19A
YDR001C,2.054912551035771,0.010833458887940317,1.9652328604462943,NTH1
YDL100C,1.8666793292228017,0.010929430859080099,1.9614024529813618,GET3
YIL052C,0.9147750997397235,0.011217978008747853,1.950085415698299,RPL34B
YGL112C,3.8967733957075854,0.011247717305108136,1.9489356075424629,TAF6
YKL153W,-0.8489116824279063,0.011341358481020495,1.9453349220325946,YKL153W
YNL178W,1.1965209757960127,0.011502408518055793,1.9392112121176375,RPS3
