gene,class,gene_name
YAL001C,background,TFC3
YAL002W,background,VPS8
YAL003W,background,EFB1
YAL005C,background,SSA1
YAL007C,background,ERP2
YAL008W,background,FUN14
YAL009W,background,SPO7
YAL010C,background,MDM10
YAL011W,background,SWC3
YAL012W,background,CYS3
YAL013W,background,DEP1
YAL014C,background,SYN8
YAL015C,background,NTG1
YAL016W,background,TPD3
YAL017W,background,PSK1
YAL019W,background,FUN30
YAL020C,background,ATS1
YAL021C,background,CCR4
YAL022C,background,FUN26
YAL023C,background,PMT2
YAL024C,background,LTE1
YAL025C,background,MAK16
YAL026C,background,DRS2
YAL027W,background,SAW1
YAL028W,background,FRT2
YAL029C,background,MYO4
YAL030W,background,SNC1
YAL031C,background,GIP4
YAL032C,background,PRP45
YAL033W,background,POP5
YAL034W-A,background,MTW1
YAL035W,background,FUN12
YAL036C,background,RBG1
YAL037W,background,YAL037W
YAL038W,background,CDC19
YAL039C,background,CYC3
YAL040C,background,CLN3
YAL041W,background,CDC24
YAL042W,background,ERV46
YAL043C,background,PTA1
YAL044C,background,GCV3
YAL046C,background,BOL3
YAL047C,background,SPC72
YAL048C,background,GEM1
YAL049C,background,AIM2
YAL051W,background,OAF1
YAL053W,background,FLC2
YAL054C,background,ACS1
YAL055W,background,PEX22
YAL056W,background,GPB2
YAL058W,background,CNE1
YAL059W,background,ECM1
YAL060W,background,BDH1
YAL061W,background,BDH2
YAL062W,background,GDH3
YAL063C,background,FLO9
YAL066W,background,YAL066W
YAL067C,background,SEO1
YAR002W,background,NUP60
YAR003W,background,SWD1
YAR007C,background,RFA1
YAR008W,background,SEN34
YAR014C,background,BUD14
YAR015W,background,ADE1
YAR018C,background,KIN3
YAR019C,background,CDC15
YAR020C,background,PAU7
YAR023C,background,YAR023C
YAR027W,background,UIP3
YAR028W,background,YAR028W
YAR031W,background,PRM9
YAR033W,background,MST28
YAR035W,background,YAT1
YAR042W,background,SWH1
YAR047C,background,YAR047C
YAR050W,background,FLO1
YAR053W,background,YAR053W
YAR071W,background,PHO11
YBL001C,background,ECM15
YBL002W,background,HTB2
YBL003C,background,HTA2
YBL004W,background,UTP20
YBL005W,background,PDR3
YBL006C,background,LDB7
YBL007C,background,SLA1
YBL008W,background,HIR1
YBL009W,background,ALK2
YBL010C,background,YBL010C
YBL011W,background,SCT1
YBL012C,background,YBL012C
YBL013W,background,FMT1
YBL014C,background,RRN6
YBL015W,background,ACH1
YBL016W,background,FUS3
YBL017C,background,PEP1
YBL018C,background,POP8
YBL019W,background,APN2
YBL020W,background,RFT1
YBL021C,background,HAP3
YBL022C,background,PIM1
YBL023C,background,MCM2
YBL024W,background,NCL1
YBL025W,background,RRN10
YBL026W,background,LSM2
YBL027W,time_specific,RPL19B
YBL028C,background,YBL028C
YBL029W,background,YBL029W
YBL030C,background,PET9
YBL031W,background,SHE1
YBL032W,background,HEK2
YBL033C,background,RIB1
YBL034C,background,STU1
YBL035C,background,POL12
YBL036C,background,YBL036C
YBL037W,background,APL3
YBL038W,background,MRPL16
YBL039C,background,URA7
YBL040C,background,ERD2
YBL041W,background,PRE7
YBL042C,background,FUI1
YBL043W,background,ECM13
YBL045C,background,COR1
YBL046W,background,PSY4
YBL047C,background,EDE1
YBL048W,background,RRT1
YBL049W,background,MOH1
YBL050W,background,SEC17
YBL051C,background,PIN4
YBL052C,background,SAS3
YBL053W,background,YBL053W
YBL054W,background,TOD6
YBL055C,background,YBL055C
YBL056W,background,PTC3
YBL057C,background,PTH2
YBL058W,background,SHP1
YBL059W,background,YBL059W
YBL060W,background,YEL1
YBL061C,background,SKT5
YBL063W,background,KIP1
YBL064C,background,PRX1
YBL065W,background,YBL065W
YBL066C,background,SEF1
YBL067C,background,UBP13
YBL068W,background,PRS4
YBL069W,background,AST1
YBL070C,background,YBL070C
YBL071C,background,YBL071C
YBL072C,entropy_specific,RPS8A
YBL074C,background,AAR2
YBL075C,background,SSA3
YBL076C,background,ILS1
YBL077W,background,YBL077W
YBL078C,background,ATG8
YBL079W,background,NUP170
YBL080C,background,PET112
YBL081W,background,YBL081W
YBL082C,background,ALG3
YBL083C,background,YBL083C
YBL084C,background,CDC27
YBL085W,background,BOI1
YBL086C,background,YBL086C
YBL087C,time_specific,RPL23A
YBL088C,background,TEL1
YBL089W,background,AVT5
YBL090W,background,MRP21
YBL091C,background,MAP2
YBL092W,background,RPL32
YBL093C,background,ROX3
YBL094C,background,YBL094C
YBL095W,background,MRX3
YBL097W,background,BRN1
YBL098W,background,BNA4
YBL099W,background,ATP1
YBL100C,background,YBL100C
YBL101C,background,ECM21
YBL102W,background,SFT2
YBL103C,background,RTG3
YBL104C,background,SEA4
YBL105C,background,PKC1
YBL106C,background,SRO77
YBL107C,background,MIX23
YBR001C,background,NTH2
YBR002C,background,RER2
YBR003W,background,COQ1
YBR004C,background,GPI18
YBR005W,background,RCR1
YBR006W,background,UGA2
YBR007C,background,DSF2
YBR008C,background,FLR1
YBR009C,background,HHF1
YBR010W,background,HHT1
YBR011C,background,IPP1
YBR012C,background,YBR012C
YBR013C,background,YBR013C
YBR014C,background,GRX7
YBR015C,background,MNN2
YBR016W,background,YBR016W
YBR017C,background,KAP104
YBR018C,background,GAL7
YBR019C,background,GAL10
YBR020W,background,GAL1
YBR021W,background,FUR4
YBR022W,background,POA1
YBR023C,background,CHS3
YBR024W,background,SCO2
YBR025C,background,OLA1
YBR026C,background,ETR1
YBR027C,background,YBR027C
YBR028C,background,YPK3
YBR029C,background,CDS1
YBR030W,background,RKM3
YBR031W,time_specific,RPL4A
YBR032W,background,YBR032W
YBR033W,background,EDS1
YBR034C,background,HMT1
