gene,log2FC,pval,-log10p,gene_name
YEL033W,-1.3223091087442838,3.121281259425333e-17,16.505667095188308,MTC7
YGL076C,-1.5325832460408442,1.3951215957704582e-16,15.855387938576238,RPL7A
YHR174W,-1.1229860322537468,1.970574424965812e-15,14.705407157986105,ENO2
YPR080W,-0.9658963745580665,2.651168124943298e-15,14.576562730426117,TEF1
YGL123W,-1.193281080068008,2.7243765062813445e-15,14.564732873520969,RPS2
YEL054C,-1.6018680513337766,4.171029427936249e-15,14.379756746057971,RPL12A
YBR031W,-1.2778898053273393,2.3905131967778823e-14,13.62150885444801,RPL4A
YOL120C,-1.2042622761774318,4.019157048300779e-14,13.395865023447715,RPL18A
YNL178W,-1.1159440504156768,8.812948018760481e-14,13.054878791461004,RPS3
YLR048W,-1.9361497342785658,1.162296266448521e-13,12.934683157243505,RPS0B
YGR254W,3.8331900185082026,1.3806474244961594e-13,12.859917212909721,ENO1
YBL027W,-1.1160929923963114,5.329426602214438e-13,12.273319514592576,RPL19B
YDR064W,-1.3433813768293796,8.209889379783063e-13,12.085662694533843,RPS13
YHR094C,3.049167884129216,9.98417011563711e-13,12.000688027856656,HXT1
YPR132W,-1.0007984709745155,1.0372371510172018e-12,11.98412193637548,RPS23B
YGL147C,-1.6509815896212994,1.7487901655464098e-12,11.757262297675329,RPL9A
YPL131W,-1.157941632869663,2.150759428145227e-12,11.667408164634402,RPL5
YLR167W,-0.8745495517121049,2.9019498792747827e-12,11.537310092705438,RPS31
YOL039W,-1.2046568514293312,3.281776157924722e-12,11.483891044457021,RPP2A
YKR057W,-1.3460000100566178,3.289495511840093e-12,11.482870701814116,RPS21A
YLR325C,-1.2123071933810823,3.9943516922688255e-12,11.398553699283196,RPL38
YJL190C,-1.4576288495680405,4.344338046452841e-12,11.362076388300192,RPS22A
YLR340W,-1.119599270797069,6.585707704999096e-12,11.181397548589642,RPP0
YOR369C,-0.9753654134149903,1.2804116906908188e-11,10.892650369220709,RPS12
YKL216W,-3.0196615927505794,1.3035857130419013e-11,10.884860407934621,URA1
YLR406C,-1.5166403564201796,3.088125584073751e-11,10.510305046626057,RPL31B
YFR031C-A,-1.0755783389700166,4.074023800371866e-11,10.389976438188095,RPL2A
YPR102C,-1.2157914493298285,4.423977258985707e-11,10.354187114145132,RPL11A
